SOA,Education Skills and Training Domain Rank,Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (Rank),Absenteeism at Primary Schools (Rank),Proportion of school leavers not achieving at least five GCSEs at English and Maths (Rank),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (Rank),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher Education or Further Education establishments (Rank),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (Rank),Absenteeism at post-primary schools (Rank),Proportion of working age adults (25-64) with no or low levels of qualification (Rank),Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (%),Absenteeism at Primary Schools (% of possible attendance),Proportion of school leavers not achieving five or more GCSEs (and equivalent) incl. English and Maths (%),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (%),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher or Further Education establishments (%),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (%),Absenteeism at post-primary schools (% of possible attendance),Proportions of working age adults (25-64) with no or low levels of qualification (%)
Lisnaskea,229,528,138,303,45,472,107,276,197,8.1,6,39,8.8,62.3,13.7,7.5,44.9
Lissan,512,402,595,366,182,677,730,650,359,9.1,3.8,36,4.8,55.6,5.5,5.3,38.8
Loughbrickland,538,503,593,609,664,446,503,508,481,8.3,3.8,25.7,1.1,62.9,7.6,6,34.3
Loughgall,615,413,743,647,438,556,814,589,433,9,3.3,23.5,2.4,59.7,4.5,5.6,36.2
Loughries 1,333,476,463,221,459,246,293,467,414,8.5,4.2,45,2.3,70.9,9.9,6.2,36.8
Loughries 2,308,440,375,198,861,380,260,194,503,8.8,4.6,47,0,65,10.4,8.3,33.6
Loughview 1,304,112,353,249,553,439,136,397,390,12.7,4.7,42.9,1.7,63,12.9,6.6,37.5
Loughview 2,133,427,117,85,885,4,368,205,299,8.9,6.2,58,0,91.7,8.9,8.2,40.5
Love Lane,54,205,165,22,53,147,376,27,90,11.3,5.8,69.3,8.2,76.6,8.8,11,51.2
Lower Braniel,483,226,307,725,266,372,446,503,525,10.9,5,19.8,3.8,65.3,8.2,6,33
Lower Glenshane 1,761,445,653,709,721,757,808,869,286,8.8,3.6,20.7,0.9,52.2,4.6,3.7,41.1
Lower Glenshane 2,837,799,746,836,884,628,729,887,547,5.4,3.3,11.8,0,57.3,5.5,3.2,32.2
Macosquin,547,450,777,409,435,581,489,636,365,8.7,3.2,34,2.4,59.1,7.8,5.4,38.6
Maghaberry 1,741,810,736,686,650,427,645,782,724,5.3,3.4,21.6,1.2,63.5,6.4,4.6,25.1
Maghaberry 2,740,594,779,640,748,711,647,714,687,7.6,3.2,23.8,0.7,54.2,6.4,5,26.8
Maghera,275,270,326,399,392,306,597,258,191,10.4,4.8,34.4,2.7,68.1,6.8,7.7,45.2
Magheralave 1,433,666,387,545,623,292,134,304,690,7,4.5,27.9,1.3,68.6,12.9,7.3,26.6
Magheralave 2,770,453,569,671,693,837,500,769,775,8.7,3.9,22.5,1,46.2,7.6,4.6,22.6
Magheralin 1,606,591,663,467,727,502,445,629,673,7.6,3.6,31.3,0.8,61.4,8.2,5.4,27.9
Magheralin 2,672,823,675,684,806,678,388,529,611,5.1,3.6,21.8,0,55.6,8.7,5.9,30.1
Magilligan,613,704,725,596,862,457,738,761,162,6.6,3.4,26.3,0,62.7,5.5,4.7,46.7
Maguiresbridge,373,383,639,255,436,522,120,426,383,9.3,3.7,42.3,2.4,60.8,13.4,6.4,37.8
Mallusk 1,674,787,723,484,389,428,746,762,699,5.6,3.4,30.5,2.7,63.4,5.4,4.7,26.3
Mallusk 2,594,758,603,546,186,410,592,570,705,6,3.8,27.9,4.7,64.2,6.9,5.7,26
Mallusk 3,799,518,864,708,281,797,667,719,816,8.2,2.8,20.8,3.6,49.4,6.2,5,19.7
Malone 1,881,321,875,883,818,874,795,821,888,9.9,2.6,1.8,0,38.8,4.8,4.2,8.2
Malone 2,888,828,879,889,805,861,839,835,889,5,2.5,0.2,0,43,4,4,7.8
Malone 3,886,669,887,875,808,826,262,868,890,6.9,2.4,4.3,0,47.2,10.4,3.7,7.5
Markethill,425,129,722,322,778,352,397,637,251,12.4,3.4,38.2,0.5,65.9,8.6,5.4,42.2
Massereene 1,479,827,546,434,517,365,586,366,566,5,4,32.9,1.9,65.6,6.9,6.7,31.5
Massereene 2,596,837,688,368,639,543,351,573,679,4.8,3.5,35.9,1.3,60.1,9.1,5.6,27.3
Mayobridge 1,506,683,513,471,632,407,624,535,504,6.8,4,31.1,1.3,64.2,6.6,5.8,33.5
Mayobridge 2,766,545,601,830,740,755,696,777,487,8,3.8,12.5,0.8,52.2,5.8,4.6,34.1
Maze 1,794,678,844,760,689,683,852,609,799,6.8,2.9,18.5,1,55.4,3.5,5.5,21.3
Maze 2,548,443,509,490,276,639,464,607,553,8.8,4,30.3,3.7,57,8,5.5,32
Milebush,253,348,162,448,7,325,183,225,398,9.6,5.8,32.4,12.3,67,11.8,8,37.3
Milford,721,679,750,670,847,660,620,738,508,6.8,3.3,22.5,0,56.2,6.6,4.9,33.5
Millisle 1,190,277,309,106,651,111,626,122,295,10.3,5,54.7,1.2,79.5,6.6,9.1,40.7
Millisle 2,541,795,566,496,455,375,688,346,736,5.5,3.9,30.1,2.3,65.2,6,6.9,24.5
Minnowburn,106,46,68,226,152,101,52,62,342,15.6,6.8,44.5,5.3,80.5,16.1,10.1,39.5
Moat,95,55,372,19,410,77,339,272,49,14.9,4.7,69.6,2.6,82.4,9.2,7.6,57.2
Moira 1,824,684,730,838,803,845,618,728,828,6.8,3.4,11.8,0,45.5,6.6,4.9,19
Moira 2,722,564,760,681,707,688,687,504,786,7.8,3.3,22,0.9,55.3,6,6,21.8
Moneymore,382,310,558,169,467,391,700,642,275,10,3.9,49.2,2.2,64.7,5.8,5.3,41.4
Moneyreagh 1,836,590,882,824,763,796,666,751,822,7.7,2.4,13.2,0.6,49.6,6.2,4.8,19.5
Moneyreagh 2,703,52,709,707,838,778,356,669,675,15,3.5,20.8,0,50.9,9,5.2,27.8
Monkstown 1,55,532,218,29,56,16,509,70,50,8.1,5.4,66.9,8.1,89.2,7.5,9.9,56.7
Monkstown 2,285,552,459,215,303,116,462,402,360,7.9,4.2,45.2,3.3,79.1,8,6.5,38.8
Mossley 1,475,462,536,272,466,603,749,451,549,8.6,4,41.2,2.2,58.1,5.4,6.3,32.1
Mossley 2,38,7,33,77,96,87,180,26,132,19.3,7.3,59,6.3,81.2,11.9,11,48
Mount Sandel,374,504,215,270,423,403,468,326,720,8.3,5.5,41.3,2.5,64.3,8,7.1,25.3
Mourneview,178,244,291,171,304,195,116,247,100,10.7,5,49.1,3.3,74,13.5,7.8,50.4
Movilla 1,224,296,406,175,390,261,275,82,483,10.1,4.4,48.6,2.7,70,10.2,9.8,34.2
Movilla 2,775,780,627,745,730,774,552,695,773,5.7,3.7,19.1,0.8,51.2,7.2,5.1,22.6
Movilla 3,695,843,731,727,844,485,847,507,575,4.6,3.4,19.8,0,61.8,3.6,6,31.1
Moy,559,603,440,555,190,487,601,641,579,7.5,4.3,27.7,4.6,61.8,6.8,5.3,31.1
Moygashel,591,572,491,765,173,353,455,604,596,7.8,4.1,17.8,4.9,65.9,8,5.5,30.4
Mullaghmore,482,694,345,283,317,488,773,665,469,6.7,4.8,40.5,3.3,61.8,5,5.2,34.8
Murlough,176,77,46,364,350,221,32,182,270,14.1,7.1,36,3,72.3,17.4,8.4,41.5
Musgrave 1,299,354,252,431,184,254,490,320,375,9.5,5.2,33.3,4.7,70.3,7.7,7.1,38.1
Musgrave 2,785,668,585,784,566,852,465,729,771,7,3.8,16.7,1.6,44.8,8,4.9,22.8
